ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:03')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.835, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:03')
ArbitrageEntry(bid=PriceVolume(price=26.8419, volume=1.91), ask=PriceVolume(price=26.841, volume=1.91), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:08')
ArbitrageEntry(bid=PriceVolume(price=26.842, volume=21.56), ask=PriceVolume(price=26.839, volume=21.56), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:09')
ArbitrageEntry(bid=PriceVolume(price=26.8368, volume=0.74), ask=PriceVolume(price=26.833, volume=0.74), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:12')
ArbitrageEntry(bid=PriceVolume(price=26.8226, volume=13.83), ask=PriceVolume(price=26.822, volume=13.83), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:25')
ArbitrageEntry(bid=PriceVolume(price=26.8226, volume=13.83), ask=PriceVolume(price=26.822, volume=13.83), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:25')
ArbitrageEntry(bid=PriceVolume(price=26.8226, volume=13.83), ask=PriceVolume(price=26.822, volume=13.83), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:25')
ArbitrageEntry(bid=PriceVolume(price=26.8175, volume=10.457999999999998), ask=PriceVolume(price=26.817, volume=10.457999999999998), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:28')
ArbitrageEntry(bid=PriceVolume(price=26.8175, volume=10.457999999999998), ask=PriceVolume(price=26.817, volume=10.457999999999998), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:28')
ArbitrageEntry(bid=PriceVolume(price=26.7915, volume=10.75), ask=PriceVolume(price=26.79, volume=10.75), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:47')
ArbitrageEntry(bid=PriceVolume(price=26.7915, volume=10.75), ask=PriceVolume(price=26.79, volume=10.75), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:47')
ArbitrageEntry(bid=PriceVolume(price=26.7917, volume=10.75), ask=PriceVolume(price=26.79, volume=10.75), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:48')
ArbitrageEntry(bid=PriceVolume(price=26.7917, volume=10.75), ask=PriceVolume(price=26.79, volume=10.75), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:48')
ArbitrageEntry(bid=PriceVolume(price=26.7919, volume=13.84), ask=PriceVolume(price=26.79, volume=13.84), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:49')
ArbitrageEntry(bid=PriceVolume(price=26.7919, volume=13.84), ask=PriceVolume(price=26.79, volume=13.84), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:49')
ArbitrageEntry(bid=PriceVolume(price=26.7919, volume=13.84), ask=PriceVolume(price=26.79, volume=13.84), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:49')
ArbitrageEntry(bid=PriceVolume(price=26.8024, volume=0.26), ask=PriceVolume(price=26.802, volume=0.26), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:53')
ArbitrageEntry(bid=PriceVolume(price=26.8064, volume=13.75), ask=PriceVolume(price=26.806, volume=13.75), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:08:56')
ArbitrageEntry(bid=PriceVolume(price=26.8174, volume=0.505), ask=PriceVolume(price=26.817, volume=0.505), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:06')
ArbitrageEntry(bid=PriceVolume(price=26.806, volume=0.248), ask=PriceVolume(price=26.805, volume=0.248), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:14')
ArbitrageEntry(bid=PriceVolume(price=26.806, volume=10.132), ask=PriceVolume(price=26.805, volume=10.132), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:16')
ArbitrageEntry(bid=PriceVolume(price=26.8061, volume=12.52), ask=PriceVolume(price=26.806, volume=12.52), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:18')
ArbitrageEntry(bid=PriceVolume(price=26.8146, volume=53.0), ask=PriceVolume(price=26.814, volume=53.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:22')
ArbitrageEntry(bid=PriceVolume(price=26.8067, volume=1.48), ask=PriceVolume(price=26.806, volume=1.48), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:37')
ArbitrageEntry(bid=PriceVolume(price=26.8067, volume=1.48), ask=PriceVolume(price=26.806, volume=1.48), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:38')
ArbitrageEntry(bid=PriceVolume(price=26.8067, volume=1.48), ask=PriceVolume(price=26.806, volume=1.48), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:38')
ArbitrageEntry(bid=PriceVolume(price=26.7957, volume=46.28), ask=PriceVolume(price=26.793, volume=46.28), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:42')
ArbitrageEntry(bid=PriceVolume(price=26.7918, volume=12.606), ask=PriceVolume(price=26.791, volume=12.606), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:48')
ArbitrageEntry(bid=PriceVolume(price=26.7893, volume=11.594), ask=PriceVolume(price=26.789, volume=11.594), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:50')
ArbitrageEntry(bid=PriceVolume(price=26.7893, volume=11.594), ask=PriceVolume(price=26.789, volume=11.594), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:50')
ArbitrageEntry(bid=PriceVolume(price=26.8011, volume=2.0), ask=PriceVolume(price=26.801, volume=2.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:53')
ArbitrageEntry(bid=PriceVolume(price=26.8011, volume=2.0), ask=PriceVolume(price=26.801, volume=2.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:53')
ArbitrageEntry(bid=PriceVolume(price=26.8018, volume=20.733), ask=PriceVolume(price=26.8, volume=20.733), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:54')
ArbitrageEntry(bid=PriceVolume(price=26.8025, volume=1.486), ask=PriceVolume(price=26.802, volume=1.486), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:56')
ArbitrageEntry(bid=PriceVolume(price=26.8025, volume=0.265), ask=PriceVolume(price=26.802, volume=0.265), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:09:57')
ArbitrageEntry(bid=PriceVolume(price=26.8396, volume=18.759), ask=PriceVolume(price=26.837, volume=18.759), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:02')
ArbitrageEntry(bid=PriceVolume(price=26.8396, volume=18.759), ask=PriceVolume(price=26.837, volume=18.759), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:02')
ArbitrageEntry(bid=PriceVolume(price=26.8372, volume=1.483), ask=PriceVolume(price=26.837, volume=1.483), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:03')
ArbitrageEntry(bid=PriceVolume(price=26.8372, volume=1.483), ask=PriceVolume(price=26.837, volume=1.483), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:03')
ArbitrageEntry(bid=PriceVolume(price=26.8372, volume=1.483), ask=PriceVolume(price=26.837, volume=1.483), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:03')
ArbitrageEntry(bid=PriceVolume(price=26.8391, volume=1.483), ask=PriceVolume(price=26.839, volume=1.483), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:04')
ArbitrageEntry(bid=PriceVolume(price=26.8241, volume=52.18), ask=PriceVolume(price=26.824, volume=52.18), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:06')
ArbitrageEntry(bid=PriceVolume(price=26.8056, volume=25.0), ask=PriceVolume(price=26.805, volume=25.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:13')
ArbitrageEntry(bid=PriceVolume(price=26.8056, volume=25.0), ask=PriceVolume(price=26.805, volume=25.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:13')
ArbitrageEntry(bid=PriceVolume(price=26.8056, volume=25.0), ask=PriceVolume(price=26.805, volume=25.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:13')
ArbitrageEntry(bid=PriceVolume(price=26.8056, volume=25.0), ask=PriceVolume(price=26.805, volume=25.0), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:10:13')
